paper_id,doi,title,document_type,priority_rank,priority_score,journal,journal_impact_factor,source_url,attempted_url,final_url,url_source,fetch_status,fetch_attempts,last_fetch_time,retry_recommended,failure_reason,local_saved_path,content_type,content_length,has_useful_text,ready_for_extraction,notes,http_status,source_page_kind,reused_existing,selected_url,local_path,has_text_content,usable_for_extraction,fetch_notes,source_quality_type,source_quality_score,allowed_extraction_scope,extraction_strategy,recommended_next_action,candidate_source,candidate_source_type,access_route,is_open_access,institutional_access_possible,original_pdf_path
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,journal_article,15,78.0,Journal of Catalysis,6.5,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,crossref_link,no_useful_content,18,2026-04-29T15:23:47+08:00,no,no_useful_fulltext_signal,outputs\fulltext\paper_0007_crossref_link_56.xml,text/xml;charset=UTF-8,1827,yes,no,Fetched content did not contain enough useful SRM fulltext.,200,html,no,https://api.elsevier.com/content/article/PII:0021-9517(85)90320-3?httpAccept=text/xml,outputs\fulltext\paper_0007_crossref_link_56.xml,yes,no,Fetched content did not contain enough useful SRM fulltext.,doi_landing_page,25,bibliographic_metadata,bibliographic_metadata_only,find_fulltext_before_field_extraction,crossref_link,crossref_link,unknown,unclear,unknown,
paper_0031,10.1016/s0360-3199(99)00011-7,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,journal_article,27,81.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0031.pdf,data\raw\pdfs\paper_0031.pdf,data\raw\pdfs\paper_0031.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:24:58+08:00,no,,outputs\fulltext\pdf_text\paper_0031.txt,application/pdf; parsed_text_cache,208091,yes,yes,Local legal PDF ingested; pages=6; extracted_text_length=18780.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0031.pdf,outputs\fulltext\pdf_text\paper_0031.txt,yes,yes,Local legal PDF ingested; pages=6; extracted_text_length=18780.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0031.pdf
paper_0037,10.1016/s1385-8947(00)00367-3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,journal_article,17,88.5,Chemical Engineering Journal,13.2,data\raw\pdfs\paper_0037.pdf,data\raw\pdfs\paper_0037.pdf,data\raw\pdfs\paper_0037.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:24:58+08:00,no,,outputs\fulltext\pdf_text\paper_0037.txt,application/pdf; parsed_text_cache,593525,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=39388.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0037.pdf,outputs\fulltext\pdf_text\paper_0037.txt,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=39388.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0037.pdf
paper_0056,10.1016/j.cej.2005.06.004,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,journal_article,16,88.5,Chemical Engineering Journal,13.2,data\raw\pdfs\paper_0056.pdf,data\raw\pdfs\paper_0056.pdf,data\raw\pdfs\paper_0056.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:24:59+08:00,no,,outputs\fulltext\pdf_text\paper_0056.txt,application/pdf; parsed_text_cache,594936,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=39388.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0056.pdf,outputs\fulltext\pdf_text\paper_0056.txt,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=39388.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0056.pdf
paper_0060,10.1016/j.jpowsour.2005.09.019,Steam reforming of methane over unsupported nickel catalysts,journal_article,26,81.0,Journal of Power Sources,7.9,data\raw\pdfs\paper_0060.pdf,data\raw\pdfs\paper_0060.pdf,data\raw\pdfs\paper_0060.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:24:59+08:00,no,,outputs\fulltext\pdf_text\paper_0060.txt,application/pdf; parsed_text_cache,2272160,yes,yes,Local legal PDF ingested; pages=12; extracted_text_length=48781.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0060.pdf,outputs\fulltext\pdf_text\paper_0060.txt,yes,yes,Local legal PDF ingested; pages=12; extracted_text_length=48781.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0060.pdf
paper_0070,10.1016/j.apsusc.2006.09.054,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,journal_article,25,81.0,Applied Surface Science,6.9,data\raw\pdfs\paper_0070.pdf,data\raw\pdfs\paper_0070.pdf,data\raw\pdfs\paper_0070.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:24:59+08:00,no,,outputs\fulltext\pdf_text\paper_0070.txt,application/pdf; parsed_text_cache,739022,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=48451.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0070.pdf,outputs\fulltext\pdf_text\paper_0070.txt,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=48451.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0070.pdf
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,journal_article,14,78.0,International Journal of Hydrogen Energy,8.3,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,crossref_link,no_useful_content,18,2026-04-29T15:23:55+08:00,no,no_useful_fulltext_signal,outputs\fulltext\paper_0099_crossref_link_56.xml,text/xml;charset=UTF-8,1863,yes,no,Fetched content did not contain enough useful SRM fulltext.,200,html,no,https://api.elsevier.com/content/article/PII:S0360319910021324?httpAccept=text/xml,outputs\fulltext\paper_0099_crossref_link_56.xml,yes,no,Fetched content did not contain enough useful SRM fulltext.,doi_landing_page,25,bibliographic_metadata,bibliographic_metadata_only,find_fulltext_before_field_extraction,crossref_link,crossref_link,unknown,unclear,unknown,
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,journal_article,4,88.5,Applied Catalysis B: Environmental,21.1,data\raw\pdfs\paper_0101.pdf,data\raw\pdfs\paper_0101.pdf,data\raw\pdfs\paper_0101.pdf,local_manual_pdf,success_local_pdf,10,2026-04-29T15:24:59+08:00,no,,outputs\fulltext\pdf_text\paper_0101.txt,application/pdf; parsed_text_cache,2771927,yes,yes,Local legal PDF ingested; pages=9; extracted_text_length=29010.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0101.pdf,outputs\fulltext\pdf_text\paper_0101.txt,yes,yes,Local legal PDF ingested; pages=9; extracted_text_length=29010.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0101.pdf
paper_0103,10.1016/j.ijhydene.2010.06.049,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,journal_article,19,85.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0103.pdf,data\raw\pdfs\paper_0103.pdf,data\raw\pdfs\paper_0103.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:24:59+08:00,no,,outputs\fulltext\pdf_text\paper_0103.txt,application/pdf; parsed_text_cache,903458,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=40986.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0103.pdf,outputs\fulltext\pdf_text\paper_0103.txt,yes,yes,Local legal PDF ingested; pages=11; extracted_text_length=40986.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0103.pdf
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,journal_article,10,85.5,Chemical Engineering Journal,13.2,https://www.sciencedirect.com/science/article/pii/j.cej.2011.01.036/pdfft?isDTMRedir=true&download=true,https://www.sciencedirect.com/science/article/pii/j.cej.2011.01.036/pdfft?isDTMRedir=true&download=true,https://www.sciencedirect.com/science/article/pii/j.cej.2011.01.036/pdfft?isDTMRedir=true&download=true,institutional_pdf,forbidden,14,2026-04-29T15:23:57+08:00,no,forbidden_http_403,,text/html; charset=UTF-8,832789,no,no,Access-limited or failed response recorded; no bypass attempted.,403,html,no,https://www.sciencedirect.com/science/article/pii/j.cej.2011.01.036/pdfft?isDTMRedir=true&download=true,,no,no,Access-limited or failed response recorded; no bypass attempted.,redirect_or_forbidden,0,,,,sciencedirect,institutional_pdf,institutional_access,unclear,yes,
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,journal_article,8,84.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0150.pdf,data\raw\pdfs\paper_0150.pdf,data\raw\pdfs\paper_0150.pdf,local_manual_pdf,success_local_pdf,10,2026-04-29T15:24:59+08:00,no,,outputs\fulltext\pdf_text\paper_0150.txt,application/pdf; parsed_text_cache,1727866,yes,yes,Local legal PDF ingested; pages=7; extracted_text_length=25104.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0150.pdf,outputs\fulltext\pdf_text\paper_0150.txt,yes,yes,Local legal PDF ingested; pages=7; extracted_text_length=25104.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0150.pdf
paper_0153,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,journal_article,193,91.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0153.pdf,data\raw\pdfs\paper_0153.pdf,data\raw\pdfs\paper_0153.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:25:00+08:00,no,,outputs\fulltext\pdf_text\paper_0153.txt,application/pdf; parsed_text_cache,3714632,yes,yes,Local legal PDF ingested; pages=19; extracted_text_length=103056.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0153.pdf,outputs\fulltext\pdf_text\paper_0153.txt,yes,yes,Local legal PDF ingested; pages=19; extracted_text_length=103056.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0153.pdf
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,journal_article,9,81.0,Fuel,7.5,data\raw\pdfs\paper_0157.pdf,data\raw\pdfs\paper_0157.pdf,data\raw\pdfs\paper_0157.pdf,local_manual_pdf,success_local_pdf,10,2026-04-29T15:25:00+08:00,no,,outputs\fulltext\pdf_text\paper_0157.txt,application/pdf; parsed_text_cache,2560465,yes,yes,Local legal PDF ingested; pages=9; extracted_text_length=35744.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0157.pdf,outputs\fulltext\pdf_text\paper_0157.txt,yes,yes,Local legal PDF ingested; pages=9; extracted_text_length=35744.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0157.pdf
paper_0158,10.1021/acscatal.6b01133,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,journal_article,192,98.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0158.pdf,data\raw\pdfs\paper_0158.pdf,data\raw\pdfs\paper_0158.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:25:00+08:00,no,,outputs\fulltext\pdf_text\paper_0158.txt,application/pdf; parsed_text_cache,3889608,yes,yes,Local legal PDF ingested; pages=14; extracted_text_length=65393.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0158.pdf,outputs\fulltext\pdf_text\paper_0158.txt,yes,yes,Local legal PDF ingested; pages=14; extracted_text_length=65393.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0158.pdf
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,journal_article,6,88.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0159.pdf,data\raw\pdfs\paper_0159.pdf,data\raw\pdfs\paper_0159.pdf,local_manual_pdf,success_local_pdf,10,2026-04-29T15:25:00+08:00,no,,outputs\fulltext\pdf_text\paper_0159.txt,application/pdf; parsed_text_cache,1251211,yes,yes,Local legal PDF ingested; pages=10; extracted_text_length=45517.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0159.pdf,outputs\fulltext\pdf_text\paper_0159.txt,yes,yes,Local legal PDF ingested; pages=10; extracted_text_length=45517.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0159.pdf
paper_0161,10.1016/j.ijhydene.2016.07.245,Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming,journal_article,22,82.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0161.pdf,data\raw\pdfs\paper_0161.pdf,data\raw\pdfs\paper_0161.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:25:01+08:00,no,,outputs\fulltext\pdf_text\paper_0161.txt,application/pdf; parsed_text_cache,1062569,yes,yes,Local legal PDF ingested; pages=13; extracted_text_length=53346.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0161.pdf,outputs\fulltext\pdf_text\paper_0161.txt,yes,yes,Local legal PDF ingested; pages=13; extracted_text_length=53346.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0161.pdf
paper_0166,10.1016/j.ijhydene.2017.06.096,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,journal_article,5,88.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0166.pdf,data\raw\pdfs\paper_0166.pdf,data\raw\pdfs\paper_0166.pdf,local_manual_pdf,success_local_pdf,10,2026-04-29T15:25:01+08:00,no,,outputs\fulltext\pdf_text\paper_0166.txt,application/pdf; parsed_text_cache,1485683,yes,yes,Local legal PDF ingested; pages=9; extracted_text_length=37881.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0166.pdf,outputs\fulltext\pdf_text\paper_0166.txt,yes,yes,Local legal PDF ingested; pages=9; extracted_text_length=37881.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0166.pdf
paper_0180,10.1016/j.ijhydene.2019.04.287,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,journal_article,7,84.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0180.pdf,data\raw\pdfs\paper_0180.pdf,data\raw\pdfs\paper_0180.pdf,local_manual_pdf,success_local_pdf,10,2026-04-29T15:25:01+08:00,no,,outputs\fulltext\pdf_text\paper_0180.txt,application/pdf; parsed_text_cache,2227804,yes,yes,Local legal PDF ingested; pages=10; extracted_text_length=43213.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0180.pdf,outputs\fulltext\pdf_text\paper_0180.txt,yes,yes,Local legal PDF ingested; pages=10; extracted_text_length=43213.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0180.pdf
paper_0191,10.1016/j.ijhydene.2020.09.262,Supported catalysts for induction-heated steam reforming of methane,journal_article,11,85.0,International Journal of Hydrogen Energy,8.3,https://hdl.handle.net/11573/1475632,https://hdl.handle.net/11573/1475632,https://iris.uniroma1.it/handle/11573/1475632,oa_html_fulltext,abstract_only,15,2026-04-29T15:24:04+08:00,no,,outputs\fulltext\paper_0191_oa_html_fulltext_88.html,text/html;charset=utf-8,56037,yes,yes,Only abstract-level content is usable; experimental extraction is not allowed.,200,html,no,https://hdl.handle.net/11573/1475632,outputs\fulltext\paper_0191_oa_html_fulltext_88.html,yes,yes,Only abstract-level content is usable; experimental extraction is not allowed.,abstract_only,60,metadata;limited_catalyst,abstract_metadata_only_no_quantitative_experimental,extract_metadata_then_find_fulltext_for_experimental_fields,openalex_location,oa_html_fulltext,open_access,yes,unknown,
paper_0193,10.1016/j.ijhydene.2020.06.299,Ultracompact methane steam reforming reactor based on microwaves susceptible structured catalysts for distributed hydrogen production,journal_article,13,78.0,International Journal of Hydrogen Energy,8.3,https://doi.org/10.1016/j.ijhydene.2020.06.299,https://doi.org/10.1016/j.ijhydene.2020.06.299,https://linkinghub.elsevier.com/retrieve/pii/S036031992032509X,publisher_landing_page,publisher_landing_only,10,2026-04-29T15:24:14+08:00,no,publisher_landing_page_only,outputs\fulltext\paper_0193_publisher_landing_page_62.html,text/html;charset=UTF-8,2750,no,no,Publisher landing page only; not enough for experimental extraction.,200,html,no,https://doi.org/10.1016/j.ijhydene.2020.06.299,outputs\fulltext\paper_0193_publisher_landing_page_62.html,no,no,Publisher landing page only; not enough for experimental extraction.,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,openalex_location,publisher_landing_page,publisher_landing,no,unknown,
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,journal_article,3,91.0,Journal of Materials Chemistry A,9.5,data\raw\pdfs\paper_0194.pdf,data\raw\pdfs\paper_0194.pdf,data\raw\pdfs\paper_0194.pdf,local_manual_pdf,success_local_pdf,12,2026-04-29T15:25:02+08:00,no,,outputs\fulltext\pdf_text\paper_0194.txt,application/pdf; parsed_text_cache,2600043,yes,yes,Local legal PDF ingested; pages=14; extracted_text_length=60653.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0194.pdf,outputs\fulltext\pdf_text\paper_0194.txt,yes,yes,Local legal PDF ingested; pages=14; extracted_text_length=60653.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0194.pdf
paper_0199,10.1016/j.joei.2022.10.006,Hollow sphere Ni-based catalysts promoted with cerium for steam reforming of methane,journal_article,24,81.0,Journal of the Energy Institute,6.2,data\raw\pdfs\paper_0199.pdf,data\raw\pdfs\paper_0199.pdf,data\raw\pdfs\paper_0199.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:25:02+08:00,no,,outputs\fulltext\pdf_text\paper_0199.txt,application/pdf; parsed_text_cache,14337355,yes,yes,Local legal PDF ingested; pages=13; extracted_text_length=45526.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0199.pdf,outputs\fulltext\pdf_text\paper_0199.txt,yes,yes,Local legal PDF ingested; pages=13; extracted_text_length=45526.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0199.pdf
paper_0202,10.1016/j.joei.2023.101344,"Hydrogen production by steam reforming of methane over hollow, bulk, and co-precipitated Ni–Ce–Al2O3 catalysts: Optimization via design of experiments",journal_article,12,78.0,Journal of the Energy Institute,6.2,outputs\fulltext\paper_0202_doi_url_50.html,outputs\fulltext\paper_0202_doi_url_50.html,,publisher_landing_page,non_retryable_failure,8,2026-04-29T15:19:39+08:00,no,local_candidate_not_pdf,,,,no,no,Local candidate exists but is not a PDF.,,html,no,outputs\fulltext\paper_0202_doi_url_50.html,,no,no,Local candidate exists but is not a PDF.,,0,,,,previous_manifest,publisher_landing_page,local_pdf,unclear,unknown,
paper_0208,10.1016/j.ijhydene.2023.09.167,Steam reforming of methane over nickel-aluminum spinel-derived catalyst,journal_article,23,81.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0208.pdf,data\raw\pdfs\paper_0208.pdf,data\raw\pdfs\paper_0208.pdf,local_manual_pdf,success_local_pdf,3,2026-04-29T15:25:02+08:00,no,,outputs\fulltext\pdf_text\paper_0208.txt,application/pdf; parsed_text_cache,1059474,yes,yes,Local legal PDF ingested; pages=13; extracted_text_length=53346.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0208.pdf,outputs\fulltext\pdf_text\paper_0208.txt,yes,yes,Local legal PDF ingested; pages=13; extracted_text_length=53346.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0208.pdf
paper_0220,10.1021/acscatal.3c05847,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",journal_article,1,98.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0220.pdf,data\raw\pdfs\paper_0220.pdf,data\raw\pdfs\paper_0220.pdf,local_manual_pdf,success_local_pdf,21,2026-04-29T15:25:03+08:00,no,,outputs\fulltext\pdf_text\paper_0220.txt,application/pdf; parsed_text_cache,3202159,yes,yes,Local legal PDF ingested; pages=15; extracted_text_length=76174.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0220.pdf,outputs\fulltext\pdf_text\paper_0220.txt,yes,yes,Local legal PDF ingested; pages=15; extracted_text_length=76174.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0220.pdf
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",journal_article,2,91.0,Fuel Processing Technology,7.7,data\raw\pdfs\paper_0221.pdf,data\raw\pdfs\paper_0221.pdf,data\raw\pdfs\paper_0221.pdf,local_manual_pdf,success_local_pdf,15,2026-04-29T15:25:06+08:00,no,,outputs\fulltext\pdf_text\paper_0221.txt,application/pdf; parsed_text_cache,2366675,yes,yes,Local legal PDF ingested; pages=15; extracted_text_length=77175.,,local_pdf_text_cache,no,data\raw\pdfs\paper_0221.pdf,outputs\fulltext\pdf_text\paper_0221.txt,yes,yes,Local legal PDF ingested; pages=15; extracted_text_length=77175.,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,,,,,,data\raw\pdfs\paper_0221.pdf
