paper_id,doi,title,document_type,priority_rank,priority_score,journal,journal_impact_factor,fetch_status,ready_for_extraction,source_url,attempted_url,local_saved_path,best_local_saved_path,content_type,content_length,checked_text_length,redirect_hits,domain_keyword_count,experimental_keyword_count,contains_msr_terms,contains_condition_terms,contains_performance_terms,source_quality_type,source_quality_score,allowed_extraction_scope,extraction_strategy,recommended_next_action,source_excerpt_preview
paper_0007,10.1016/0021-9517(85)90320-3,Carbon deposition and methane steam reforming on silica-supported Ni$z.sbnd;Cu catalysts,journal_article,15,78.0,Journal of Catalysis,6.5,redirect_only,no,https://doi.org/10.1016/0021-9517(85)90320-3,https://doi.org/10.1016/0021-9517(85)90320-3,outputs\fulltext\paper_0007_doi_url_50.html,outputs\fulltext\paper_0007_doi_url_50.html,text/html;charset=UTF-8,2699,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0099,10.1016/j.ijhydene.2010.10.053,Catalytic performance of Ni catalysts for steam reforming of methane at high space velocity,journal_article,14,78.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2010.10.053,https://doi.org/10.1016/j.ijhydene.2010.10.053,outputs\fulltext\paper_0099_doi_url_50.html,outputs\fulltext\paper_0099_doi_url_50.html,text/html;charset=UTF-8,2708,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,journal_article,4,88.5,Applied Catalysis B: Environmental,21.1,redirect_only,no,https://doi.org/10.1016/j.apcatb.2010.10.026,https://doi.org/10.1016/j.apcatb.2010.10.026,outputs\fulltext\paper_0101_doi_url_50.html,outputs\fulltext\paper_0101_doi_url_50.html,text/html;charset=UTF-8,2746,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0124,10.1016/j.cej.2011.01.036,Thermal and hydrothermal stability of a metal monolithic anodic alumina support for steam reforming of methane,journal_article,10,85.5,Chemical Engineering Journal,13.2,redirect_only,no,https://doi.org/10.1016/j.cej.2011.01.036,https://doi.org/10.1016/j.cej.2011.01.036,outputs\fulltext\paper_0124_doi_url_50.html,outputs\fulltext\paper_0124_doi_url_50.html,text/html;charset=UTF-8,2727,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,journal_article,8,84.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2015.06.104,https://doi.org/10.1016/j.ijhydene.2015.06.104,outputs\fulltext\paper_0150_doi_url_50.html,outputs\fulltext\paper_0150_doi_url_50.html,text/html;charset=UTF-8,2716,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,journal_article,9,81.0,Fuel,7.5,redirect_only,no,https://doi.org/10.1016/j.fuel.2016.03.104,https://doi.org/10.1016/j.fuel.2016.03.104,outputs\fulltext\paper_0157_doi_url_50.html,outputs\fulltext\paper_0157_doi_url_50.html,text/html;charset=UTF-8,2752,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,journal_article,6,88.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2016.05.109,https://doi.org/10.1016/j.ijhydene.2016.05.109,outputs\fulltext\paper_0159_doi_url_50.html,outputs\fulltext\paper_0159_doi_url_50.html,text/html;charset=UTF-8,2758,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0166,10.1016/j.ijhydene.2017.06.096,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,journal_article,5,88.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2017.06.096,https://doi.org/10.1016/j.ijhydene.2017.06.096,outputs\fulltext\paper_0166_doi_url_50.html,outputs\fulltext\paper_0166_doi_url_50.html,text/html;charset=UTF-8,2756,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0180,10.1016/j.ijhydene.2019.04.287,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,journal_article,7,84.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2019.04.287,https://doi.org/10.1016/j.ijhydene.2019.04.287,outputs\fulltext\paper_0180_doi_url_50.html,outputs\fulltext\paper_0180_doi_url_50.html,text/html;charset=UTF-8,2749,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0191,10.1016/j.ijhydene.2020.09.262,Supported catalysts for induction-heated steam reforming of methane,journal_article,11,85.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2020.09.262,https://doi.org/10.1016/j.ijhydene.2020.09.262,outputs\fulltext\paper_0191_doi_url_50.html,outputs\fulltext\paper_0191_doi_url_50.html,text/html;charset=UTF-8,2684,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0193,10.1016/j.ijhydene.2020.06.299,Ultracompact methane steam reforming reactor based on microwaves susceptible structured catalysts for distributed hydrogen production,journal_article,13,78.0,International Journal of Hydrogen Energy,8.3,redirect_only,no,https://doi.org/10.1016/j.ijhydene.2020.06.299,https://doi.org/10.1016/j.ijhydene.2020.06.299,outputs\fulltext\paper_0193_doi_url_50.html,outputs\fulltext\paper_0193_doi_url_50.html,text/html;charset=UTF-8,2750,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,journal_article,3,91.0,Journal of Materials Chemistry A,9.5,success,yes,https://doi.org/10.1039/d0ta11359j,https://doi.org/10.1039/d0ta11359j,outputs\fulltext\paper_0194_doi_url_50.html,outputs\fulltext\paper_0194_doi_url_50.html,text/html; charset=utf-8,163705,4791,enable javascript,7,5,yes,yes,yes,abstract_only,60,metadata;limited_catalyst,abstract_metadata_only_no_quantitative_experimental,extract_metadata_then_find_fulltext_for_experimental_fields,Ni-based bimetallic nano-catalysts anchored on BaZr0.4Ce0.4Y0.1Yb0.1O3−δ for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell - Journal of Materials Chemistry A (RSC Publishing) Jump to main content Jump to site search Publishing Journals Books Databases Search Advanced Search You must enter a search term Advanced search You do not have JavaScript enable
paper_0202,10.1016/j.joei.2023.101344,"Hydrogen production by steam reforming of methane over hollow, bulk, and co-precipitated Ni–Ce–Al2O3 catalysts: Optimization via design of experiments",journal_article,12,78.0,Journal of the Energy Institute,6.2,redirect_only,no,https://doi.org/10.1016/j.joei.2023.101344,https://doi.org/10.1016/j.joei.2023.101344,outputs\fulltext\paper_0202_doi_url_50.html,outputs\fulltext\paper_0202_doi_url_50.html,text/html;charset=UTF-8,2779,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
paper_0220,10.1021/acscatal.3c05847,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",journal_article,1,98.5,ACS Catalysis,13.1,success,yes,data\raw\pdfs\paper_0220.pdf,data\raw\pdfs\paper_0220.pdf,data\raw\pdfs\paper_0220.pdf,data\raw\pdfs\paper_0220.pdf,application/pdf,3202222,54482,,10,9,yes,yes,yes,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Structural Changes of Ni and Ni−Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction ConditionsEnrico Tusini, Maria Casapu, Anna Zimina, Dmitry E. Doronkin, Heike Störmer, Laurent Barthe, Stephanie Belin, and Jan-Dierk Grunwaldt* Cite This: ACS Catal. 2024, 14, 7463−7477 Read OnlineACCESS Metrics & More Article Recommendations* sı Supporting Inf"
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",journal_article,2,91.0,Fuel Processing Technology,7.7,redirect_only,no,https://doi.org/10.1016/j.fuproc.2025.108325,https://doi.org/10.1016/j.fuproc.2025.108325,outputs\fulltext\paper_0221_doi_url_50.html,outputs\fulltext\paper_0221_doi_url_50.html,text/html;charset=UTF-8,2769,11,redirecting,0,0,no,no,no,redirect_or_forbidden,0,none,skip,find_pdf_or_open_access_fulltext,Redirecting
