paper_id,doi,title,document_type,priority_rank,priority_score,journal,journal_impact_factor,source_url,attempted_url,fetch_status,fetch_attempts,last_fetch_time,retry_recommended,failure_reason,local_saved_path,content_type,content_length,has_useful_text,ready_for_extraction,best_local_saved_path,best_source_file_name,local_path_exists,local_file_nonempty,best_source_score,checked_text_length,redirect_hits,domain_keyword_count,experimental_keyword_count,contains_msr_terms,contains_condition_terms,contains_performance_terms,has_useful_domain_text,ready_for_metadata,ready_for_experimental,ready_for_extraction_checked,page_quality_label,not_ready_reason,source_quality_type,source_quality_score,allowed_extraction_scope,extraction_strategy,recommended_next_action,source_excerpt_preview
paper_0031,10.1016/s0360-3199(99)00011-7,Stoichiometric consideration of steam reforming of methane on Ni/Al2O3 catalyst at 650°C by using a solar furnace simulator,journal_article,27,81.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0031.pdf,data\raw\pdfs\paper_0031.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0031.txt,application/pdf; parsed_text_cache,208091,yes,yes,outputs\fulltext\pdf_text\paper_0031.txt,paper_0031.txt,yes,yes,36,18780,,6,2,yes,yes,no,yes,yes,yes,yes,strong_for_experimental,weak_experimental_signal,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Stoichiometric consideration of steam reforming of methane on Ni/Al 2O3 catalyst at 650 8C by using a solar furnace simulator Osamu Yokota, Yoshinori Oku, Taizo Sano, Noriko Hasegawa, Jun Matsunami, Masamichi Tsuji, Yutaka Tamaura* Research Center for Carbon Recycling and Utilization, Tokyo Institute of Technology, 2-12-1 Ookayama, Meguro-ku, Tokyo 152-8552, Japan Abstract Stoichiometry of the ste"
paper_0037,10.1016/s1385-8947(00)00367-3,The kinetics of methane steam reforming over a Ni/α-Al2O catalyst,journal_article,17,88.5,Chemical Engineering Journal,13.2,data\raw\pdfs\paper_0037.pdf,data\raw\pdfs\paper_0037.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0037.txt,application/pdf; parsed_text_cache,593525,yes,yes,outputs\fulltext\pdf_text\paper_0037.txt,paper_0037.txt,yes,yes,56,39388,,8,4,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Chemical Engineering Journal 112 (2005) 1–11 Kinetic and modelling study of methane steam reforming over sulﬁde nickel catalyst on a gamma alumina support D.L. Hoang ∗, S.H. Chan, O.L. Ding Fuel Cell Strategic Research Programme, School of Mechanical & Production Engineering, Nanyang Technological University, 50Nanyang Avenue, Singapore 639798, Singapore Received 8 March 2005; received in revised "
paper_0056,10.1016/j.cej.2005.06.004,Kinetic and modelling study of methane steam reforming over sulfide nickel catalyst on a gamma alumina support,journal_article,16,88.5,Chemical Engineering Journal,13.2,data\raw\pdfs\paper_0056.pdf,data\raw\pdfs\paper_0056.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0056.txt,application/pdf; parsed_text_cache,594936,yes,yes,outputs\fulltext\pdf_text\paper_0056.txt,paper_0056.txt,yes,yes,56,39388,,8,4,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Chemical Engineering Journal 112 (2005) 1–11 Kinetic and modelling study of methane steam reforming over sulﬁde nickel catalyst on a gamma alumina support D.L. Hoang ∗, S.H. Chan, O.L. Ding Fuel Cell Strategic Research Programme, School of Mechanical & Production Engineering, Nanyang Technological University, 50Nanyang Avenue, Singapore 639798, Singapore Received 8 March 2005; received in revised "
paper_0060,10.1016/j.jpowsour.2005.09.019,Steam reforming of methane over unsupported nickel catalysts,journal_article,26,81.0,Journal of Power Sources,7.9,data\raw\pdfs\paper_0060.pdf,data\raw\pdfs\paper_0060.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0060.txt,application/pdf; parsed_text_cache,2272160,yes,yes,outputs\fulltext\pdf_text\paper_0060.txt,paper_0060.txt,yes,yes,72,48781,,10,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Journal of Power Sources 158 (2006) 485–496 Steam reforming of methane over unsupported nickel catalysts S. Rakass a, H. Oudghiri-Hassani a, P. Rowntreea,1, N. Abatzoglou b,∗ a D´epartement de chimie, Universit´e de Sherbrooke, 2500 Boul. Universit´e, Sherbrooke Quebec, Canada J1K 2R1 b D´epartement de g´enie chimique, Universit´e de Sherbrooke, Boul. Universit´e, Sherbrooke, Quebec, Canada Receiv"
paper_0070,10.1016/j.apsusc.2006.09.054,Theoretical and experimental study of methane steam reforming reactions over nickel catalyst,journal_article,25,81.0,Applied Surface Science,6.9,data\raw\pdfs\paper_0070.pdf,data\raw\pdfs\paper_0070.pdf,success_local_pdf,2,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0070.txt,application/pdf; parsed_text_cache,739022,yes,yes,outputs\fulltext\pdf_text\paper_0070.txt,paper_0070.txt,yes,yes,59,48451,,8,5,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Theoretical and experimental study of methane steam reforming reactions over nickel catalyst C. Pistonesi b, A. Juan b, B. Irigoyen a,*, N. Amadeo a a Laboratorio de Procesos Catalı´ticos, Departamento de Ingenierı´a Quı´mica, Facultad de Ingenierı´a, Universidad de Buenos Aires, Pabello´n de Industrias, Ciudad Universitaria, 1428 Capital Federal, Argentina b Departamento de Fı´sica, Universidad N"
paper_0101,10.1016/j.apcatb.2010.10.026,Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs,journal_article,4,88.5,Applied Catalysis B: Environmental,21.1,data\raw\pdfs\paper_0101.pdf,data\raw\pdfs\paper_0101.pdf,success_local_pdf,9,2026-04-29T15:21:24+08:00,no,,outputs\fulltext\pdf_text\paper_0101.txt,application/pdf; parsed_text_cache,2771927,yes,yes,outputs\fulltext\pdf_text\paper_0101.txt,paper_0101.txt,yes,yes,77,29010,,11,9,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Applied Catalysis B: Environmental 101 (2011) 531–539 Contents lists available at ScienceDirect Applied Catalysis B: Environmental journal homepage: www.elsevier.com/locate/apcatb Effect of nickel nano-particle sintering on methane reforming activity of Ni-CGO cermet anodes for internal steam reforming SOFCs D. Hari Prasada,b, H.-I. Jia, H.-R. Kima, J.-W. Sona, B.-K. Kima, H.-W. Leea, J.-H. Leea,∗"
paper_0103,10.1016/j.ijhydene.2010.06.049,H2 production by low pressure methane steam reforming in a Pd–Ag membrane reactor over a Ni-based catalyst: Experimental and modeling,journal_article,19,85.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0103.pdf,data\raw\pdfs\paper_0103.pdf,success_local_pdf,2,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0103.txt,application/pdf; parsed_text_cache,903458,yes,yes,outputs\fulltext\pdf_text\paper_0103.txt,paper_0103.txt,yes,yes,71,40986,,11,7,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"H2 production by low pressure methane steam reforming in aP d eAg membrane reactor over a Ni-based catalyst: Experimental and modeling A. Iulianelli a, G. Manzolini b, M. De Falco c, S. Campanari b, T. Longo a, S. Liguori a,d, A. Basile a,* a Institute on Membrane Technology of National Research Council (ITM-CNR), Via P. Bucci Cubo 17/C, c/o University of Calabria, Rende (CS) 87036, Italy b Dept. "
paper_0150,10.1016/j.ijhydene.2015.06.104,Hydrogen production by steam reforming of methane over mixed Ni/MgAl + CrFe 3 O 4 catalysts,journal_article,8,84.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0150.pdf,data\raw\pdfs\paper_0150.pdf,success_local_pdf,9,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0150.txt,application/pdf; parsed_text_cache,1727866,yes,yes,outputs\fulltext\pdf_text\paper_0150.txt,paper_0150.txt,yes,yes,70,25104,,9,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Hydrogen production by steam reforming of methane over mixed Ni/MgAl þ CrFe3O4 catalysts Na Young Kim a,b, Eun-Hyeok Yang a,d, Sung-Soo Lim a,c, Jae Sun Jung a,d, Jae-Suk Lee a,d, Gi Hoon Hong a,d, Young-Su Noh a,b, Kwan Young Lee b,c, Dong Ju Moon a,d,* a Clean Energy Research Center, KIST, Seoul, Republic of Korea b Department of Biological & Chemical Engineering, Korea University, Seoul, Republ"
paper_0153,10.1021/acscatal.5b01221,Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures,journal_article,193,91.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0153.pdf,data\raw\pdfs\paper_0153.pdf,success_local_pdf,2,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0153.txt,application/pdf; parsed_text_cache,3714632,yes,yes,outputs\fulltext\pdf_text\paper_0153.txt,paper_0153.txt,yes,yes,72,103056,,10,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Recent Advances on the Design of Group VIII Base-Metal Catalysts with Encapsulated Structures Hao Tian, Xinyu Li, Liang Zeng, and Jinlong Gong * Key Laboratory for Green Chemical Technology of Ministry of Education, School of Chemical Engineering and Technology, Tianjin University, Collaborative Innovation Center of Chemical Science and Engineering, Tianjin 300072, China ABSTRACT: Inexpensive grou"
paper_0157,10.1016/j.fuel.2016.03.104,Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process,journal_article,9,81.0,Fuel,7.5,data\raw\pdfs\paper_0157.pdf,data\raw\pdfs\paper_0157.pdf,success_local_pdf,9,2026-04-29T15:21:25+08:00,no,,outputs\fulltext\pdf_text\paper_0157.txt,application/pdf; parsed_text_cache,2560465,yes,yes,outputs\fulltext\pdf_text\paper_0157.txt,paper_0157.txt,yes,yes,70,35744,,9,8,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Characterization and performance evaluation of Ni-based catalysts with Ce promoter for methane and hydrocarbons steam reforming process Xia Yang a,b,⇑, Jianwen Da b, Hantao Yu b, Hao Wang b a School of Chemical Engineering and Technology, Tianjin University, Tianjin 300072, PR China b Qilu Branch Corporation of SINOPEC, Zibo, Shandong 255400, PR China article info Article history: Received 14 Octo"
paper_0158,10.1021/acscatal.6b01133,Differences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts,journal_article,192,98.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0158.pdf,data\raw\pdfs\paper_0158.pdf,success_local_pdf,2,2026-04-29T15:21:26+08:00,no,,outputs\fulltext\pdf_text\paper_0158.txt,application/pdf; parsed_text_cache,3889608,yes,yes,outputs\fulltext\pdf_text\paper_0158.txt,paper_0158.txt,yes,yes,75,65393,,10,9,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Diﬀerences in the Nature of Active Sites for Methane Dry Reforming and Methane Steam Reforming over Nickel Aluminate Catalysts Jessica L. Rogers, †,‡,§ Michael C. Mangarella, † Andrew D. D ’Amico,∥ James R. Gallagher, ⊥ Michael R. Dutzer, †,‡ Eli Stavitski, # Jeﬀrey T. Miller, ⊥,$ and Carsten Sievers *,†,‡ †School of Chemical & Biomolecular Engineering, Georgia Institute of Technology, Atlanta, Ge"
paper_0159,10.1016/j.ijhydene.2016.05.109,Effect of calcination temperature on stability and activity of Ni/MgAl2O4 catalyst for steam reforming of methane at high pressure condition,journal_article,6,88.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0159.pdf,data\raw\pdfs\paper_0159.pdf,success_local_pdf,9,2026-04-29T15:21:26+08:00,no,,outputs\fulltext\pdf_text\paper_0159.txt,application/pdf; parsed_text_cache,1251211,yes,yes,outputs\fulltext\pdf_text\paper_0159.txt,paper_0159.txt,yes,yes,62,45517,,8,6,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Effect of calcination temperature on stability and activity of Ni/MgAl 2O4 catalyst for steam reforming of methane at high pressure condition Sanjay Katheria, Abhishek Gupta, Goutam Deo, Deepak Kunzru * Department of Chemical Engineering, Indian Institute of Technology Kanpur, Kanpur, 208016, Uttar Pradesh, India article info Article history: Received 25 March 2016 Received in revised form 6 May 2"
paper_0161,10.1016/j.ijhydene.2016.07.245,Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming,journal_article,22,82.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0161.pdf,data\raw\pdfs\paper_0161.pdf,success_local_pdf,2,2026-04-29T15:21:26+08:00,no,,outputs\fulltext\pdf_text\paper_0161.txt,application/pdf; parsed_text_cache,1062569,yes,yes,outputs\fulltext\pdf_text\paper_0161.txt,paper_0161.txt,yes,yes,67,53346,,9,7,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming L. Turchetti a,*, M.A. Murmura b, G. Monteleone a, A. Giaconia a, A.A. Lemonidou c, S.D. Angeli c, V. Palma d, C. Ruocco d, M.C. Annesini b a ENEA, Italian National Agency for New Technologies, Energy and Sustainable Economic Development, Via Anguillarese, 301, 00123 Rome, Italy b Dipartimento di Ingegneria "
paper_0166,10.1016/j.ijhydene.2017.06.096,Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition,journal_article,5,88.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0166.pdf,data\raw\pdfs\paper_0166.pdf,success_local_pdf,9,2026-04-29T15:21:27+08:00,no,,outputs\fulltext\pdf_text\paper_0166.txt,application/pdf; parsed_text_cache,1485683,yes,yes,outputs\fulltext\pdf_text\paper_0166.txt,paper_0166.txt,yes,yes,62,37881,,8,6,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Effect of Pt doping on activity and stability of Ni/MgAl2O4 catalyst for steam reforming of methane at ambient and high pressure condition Vinod Kumar Jaiswar 1, Sanjay Katheria 1, Goutam Deo *, Deepak Kunzru 2 Department of Chemical Engineering, Indian Institute of Technology Kanpur, Kanpur 208016, Uttar Pradesh, India article info Article history: Received 1 March 2017 Received in revised form 1"
paper_0180,10.1016/j.ijhydene.2019.04.287,Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modified SiC,journal_article,7,84.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0180.pdf,data\raw\pdfs\paper_0180.pdf,success_local_pdf,9,2026-04-29T15:21:27+08:00,no,,outputs\fulltext\pdf_text\paper_0180.txt,application/pdf; parsed_text_cache,2227804,yes,yes,outputs\fulltext\pdf_text\paper_0180.txt,paper_0180.txt,yes,yes,75,43213,,10,9,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Hydrogen production by steam reforming of methane over nickel based structured catalysts supported on calcium aluminate modiﬁed SiC Young Su Noh a,b, Kwan-Young Lee b, Dong Ju Moon a,b,c,* a Clean Energy Research Center, Korea Institute of Science and Technology, Hwarang-ro 14-gil 5, Seongbuk-gu, Seoul 02792, South Korea b Department of Chemical & Biological Engineering, Korea University, Anam-ro "
paper_0191,10.1016/j.ijhydene.2020.09.262,Supported catalysts for induction-heated steam reforming of methane,journal_article,11,85.0,International Journal of Hydrogen Energy,8.3,https://hdl.handle.net/11573/1475632,https://hdl.handle.net/11573/1475632,abstract_only,15,2026-04-29T15:24:04+08:00,no,,outputs\fulltext\paper_0191_oa_html_fulltext_88.html,text/html;charset=utf-8,56037,yes,yes,outputs\fulltext\paper_0191_oa_html_fulltext_88.html,paper_0191_oa_html_fulltext_88.html,yes,yes,36,9323,,6,2,yes,yes,yes,yes,yes,no,yes,metadata_only,weak_experimental_signal,abstract_only,60,metadata;limited_catalyst,abstract_metadata_only_no_quantitative_experimental,extract_metadata_then_find_fulltext_for_experimental_fields,Supported catalysts for induction-heated steam reforming of methane - IMT Mines Albi-Carmaux Search Access content directly Footer Documentation EN French (FR) English (EN) Sign in HAL Portal Imt Mines Albi Search Loading... Advanced Search Information de documents Titles Titles Subtitle Work title hal_serie_t Default search field (multi-criteria) + PDF full text Abstract Full text of PDF document
paper_0194,10.1039/d0ta11359j,Ni-based bimetallic nano-catalysts anchored on BaZr<sub>0.4</sub>Ce<sub>0.4</sub>Y<sub>0.1</sub>Yb<sub>0.1</sub>O<sub>3−δ</sub> for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell,journal_article,3,91.0,Journal of Materials Chemistry A,9.5,data\raw\pdfs\paper_0194.pdf,data\raw\pdfs\paper_0194.pdf,success_local_pdf,11,2026-04-29T15:21:27+08:00,no,,outputs\fulltext\pdf_text\paper_0194.txt,application/pdf; parsed_text_cache,2600043,yes,yes,outputs\fulltext\pdf_text\paper_0194.txt,paper_0194.txt,yes,yes,82,60653,,12,10,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,Journal of Materials Chemistry A Materials for energy and sustainability rsc.li/materials-a ISSN 2050-7488 Volume 9 Number 10 14 March 2021 Pages 5871–6592 PAPER Jongsup Hong et al. Ni-based bimetallic nano-catalysts anchored on BaZr 0.4Ce0.4Y0.1Yb0.1O3−δ for internal steam reforming of methane in a low-temperature proton-conducting ceramic fuel cell Ni-based bimetallic nano-catalysts anchored on
paper_0199,10.1016/j.joei.2022.10.006,Hollow sphere Ni-based catalysts promoted with cerium for steam reforming of methane,journal_article,24,81.0,Journal of the Energy Institute,6.2,data\raw\pdfs\paper_0199.pdf,data\raw\pdfs\paper_0199.pdf,success_local_pdf,2,2026-04-29T15:21:27+08:00,no,,outputs\fulltext\pdf_text\paper_0199.txt,application/pdf; parsed_text_cache,14337355,yes,yes,outputs\fulltext\pdf_text\paper_0199.txt,paper_0199.txt,yes,yes,67,45526,,9,7,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Journal of the Energy Institute 105 (2022) 342–354 Available online 13 October 2022 1743-9671/© 2022 Published by Elsevier Ltd on behalf of Energy Institute. Hollow sphere Ni-based catalysts promoted with cerium for steam reforming of methane Maryam Meshksar, Mohammad Farsi, Mohammad Reza Rahimpour * Department of Chemical Engineering, Shiraz University, Shiraz, Iran ARTICLE INFO Keywords: Hollow "
paper_0208,10.1016/j.ijhydene.2023.09.167,Steam reforming of methane over nickel-aluminum spinel-derived catalyst,journal_article,23,81.0,International Journal of Hydrogen Energy,8.3,data\raw\pdfs\paper_0208.pdf,data\raw\pdfs\paper_0208.pdf,success_local_pdf,2,2026-04-29T15:21:28+08:00,no,,outputs\fulltext\pdf_text\paper_0208.txt,application/pdf; parsed_text_cache,1059474,yes,yes,outputs\fulltext\pdf_text\paper_0208.txt,paper_0208.txt,yes,yes,67,53346,,9,7,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Kinetic assessment of Ni-based catalysts in low-temperature methane/biogas steam reforming L. Turchetti a,*, M.A. Murmura b, G. Monteleone a, A. Giaconia a, A.A. Lemonidou c, S.D. Angeli c, V. Palma d, C. Ruocco d, M.C. Annesini b a ENEA, Italian National Agency for New Technologies, Energy and Sustainable Economic Development, Via Anguillarese, 301, 00123 Rome, Italy b Dipartimento di Ingegneria "
paper_0220,10.1021/acscatal.3c05847,"Structural Changes of Ni and Ni–Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction Conditions",journal_article,1,98.5,ACS Catalysis,13.1,data\raw\pdfs\paper_0220.pdf,data\raw\pdfs\paper_0220.pdf,success_local_pdf,20,2026-04-29T15:21:28+08:00,no,,outputs\fulltext\pdf_text\paper_0220.txt,application/pdf; parsed_text_cache,3202159,yes,yes,outputs\fulltext\pdf_text\paper_0220.txt,paper_0220.txt,yes,yes,85,76174,,12,11,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Structural Changes of Ni and Ni−Pt Methane Steam Reforming Catalysts During Activation, Reaction, and Deactivation Under Dynamic Reaction ConditionsEnrico Tusini, Maria Casapu, Anna Zimina, Dmitry E. Doronkin, Heike Störmer, Laurent Barthe, Stephanie Belin, and Jan-Dierk Grunwaldt* Cite This: ACS Catal. 2024, 14, 7463−7477 Read OnlineACCESS Metrics & More Article Recommendations* sı Supporting Inf"
paper_0221,10.1016/j.fuproc.2025.108325,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al2O3 (M = Ni, Mg, Co) supports for enhanced catalyst stability",journal_article,2,91.0,Fuel Processing Technology,7.7,data\raw\pdfs\paper_0221.pdf,data\raw\pdfs\paper_0221.pdf,success_local_pdf,14,2026-04-29T15:21:31+08:00,no,,outputs\fulltext\pdf_text\paper_0221.txt,application/pdf; parsed_text_cache,2366675,yes,yes,outputs\fulltext\pdf_text\paper_0221.txt,paper_0221.txt,yes,yes,75,77175,,10,9,yes,yes,yes,yes,yes,yes,yes,strong_for_experimental,,pdf_fulltext,95,metadata;experimental,pdf_fulltext_metadata_and_experimental,run_metadata_and_experimental_extraction,"Support effect in Ni-based catalysts for methane steam reforming: Role of MxOy-Al 2 O 3 (M = Ni, Mg, Co) supports for enhanced catalyst stability Yi Lin a , Zaixing Wang b , Lina Tang c , Shi Jiang a , Yu Guo a , * , Xiaoqin Liu a , * a State Key Laboratory of Materials-Oriented Chemical Engineering, College of Chemical Engineering, Nanjing Tech University, Nanjing, China b Department of Applied P"
